Timestamp,FIT101,LIT101,MV101,P101,P102,AIT201,AIT202,AIT203,FIT201,MV201,P201,P202,P203,P204,P205,P206,DPIT301,FIT301,LIT301,MV301,MV302,MV303,MV304,P301,P302,AIT401,AIT402,FIT401,LIT401,P401,P402,P403,P404,UV401,AIT501,AIT502,AIT503,AIT504,FIT501,FIT502,FIT503,FIT504,P501,P502,PIT501,PIT502,PIT503,FIT601,P601,P602,P603,Normal/Attack
 22/12/2015 4:30:18 PM,0.0,124.1957,1,1,1,251.9226,8.30896,312.9198,0.0,1,1,1,1,1,1,1,2.560983,0.0002562214,137.4247,1,1,1,1,1,1,0.0,169.2387,0.0,133.0813,1,1,1,1,1,7.444117,175.3909,260.7024,123.3145,0.001538067,0.001409,0.001664373,0.0,1,1,9.100231,0.0,3.3485,0.0002563035,1,1,1,Normal
 22/12/2015 4:30:19 PM,0.0,124.1172,1,1,1,251.9226,8.30896,312.7916,0.0,1,1,1,1,1,1,1,2.560983,0.0002562214,137.2244,1,1,1,1,1,1,0.0,169.2387,0.0,133.0813,1,1,1,1,1,7.44636,175.3909,260.7024,123.3145,0.001538067,0.001409,0.001664373,0.0,1,1,9.100231,0.0,3.3485,0.0002563035,1,1,1,Normal
 22/12/2015 4:30:20 PM,0.0,124.1565,1,1,1,251.9226,8.30896,312.7916,0.0,1,1,1,1,1,1,1,2.560983,0.0002562214,137.3446,1,1,1,1,1,1,0.0,169.2387,0.0,133.5811,1,1,1,1,1,7.44636,175.3909,260.7024,123.3145,0.001538067,0.001409,0.001664373,0.0,1,1,9.100231,0.0,3.3485,0.0002563035,1,1,1,Normal
 22/12/2015 4:30:21 PM,0.0,124.3135,1,1,1,251.9226,8.30896,312.7916,0.0,1,1,1,1,1,1,1,2.560983,0.0002562214,137.1043,1,1,1,1,1,1,0.0,169.2387,0.0,133.4273,1,1,1,1,1,7.44636,175.3909,260.7024,123.3145,0.001538067,0.001409,0.001664373,0.0,1,1,9.100231,0.0,3.3485,0.0002563035,1,1,1,Normal
 22/12/2015 4:30:22 PM,0.0,124.1565,1,1,1,251.9226,8.30896,312.7916,0.0,1,1,1,1,1,1,1,2.560983,0.0002562214,137.5449,1,1,1,1,1,1,0.0,169.2387,0.0,133.7349,1,1,1,1,1,7.44636,175.3909,260.7024,123.3145,0.001538067,0.001409,0.001664373,0.0,1,1,9.100231,0.0,3.3485,0.0002563035,1,1,1,Normal
 22/12/2015 4:30:23 PM,0.0,124.078,1,1,1,251.9226,8.309921,312.7916,0.0,1,1,1,1,1,1,1,2.560983,0.0002562214,137.3446,1,1,1,1,1,1,0.0,169.2387,0.0,133.6196,1,1,1,1,1,7.44636,175.3909,260.7024,123.3145,0.001538067,0.001409,0.001664373,0.0,1,1,9.100231,0.0,3.3485,0.0002563035,1,1,1,Normal
 22/12/2015 4:30:24 PM,0.0,124.078,1,1,1,251.9226,8.309921,312.7916,0.0,1,1,1,1,1,1,1,2.560983,0.0002562214,137.3446,1,1,1,1,1,1,0.0,169.2387,0.0,133.6196,1,1,1,1,1,7.44636,175.3909,260.7024,123.3145,0.001538067,0.001409,0.001664373,0.0,1,1,9.100231,0.0,3.3485,0.0002563035,1,1,1,Normal
 22/12/2015 4:30:25 PM,0.0,124.078,1,1,1,251.9226,8.311844,312.7916,0.0,1,1,1,1,1,1,1,2.560983,0.0002562214,137.5849,1,1,1,1,1,1,0.0,169.2387,0.0,133.5427,1,1,1,1,1,7.445399,175.3909,260.7024,123.5452,0.001538067,0.001409,0.001664373,0.0,1,1,9.100231,0.0,3.3485,0.0002563035,1,1,1,Normal
 22/12/2015 4:30:26 PM,0.0,123.7247,1,1,1,251.9226,8.311844,312.7916,0.0,1,1,1,1,1,1,1,2.560983,0.0002562214,137.5449,1,1,1,1,1,1,0.0,169.2387,0.0,133.658,1,1,1,1,1,7.444758,175.3909,260.7024,123.5452,0.001538067,0.001409,0.001664373,0.0,1,1,9.100231,0.0,3.3485,0.0002563035,1,1,1,Normal
 22/12/2015 4:30:27 PM,0.0,123.6854,1,1,1,251.9226,8.311844,312.7916,0.0,1,1,1,1,1,1,1,2.560983,0.0002562214,137.5849,1,1,1,1,1,1,0.0,169.2387,0.0,133.658,1,1,1,1,1,7.444758,175.3909,260.7024,123.5452,0.001538067,0.001409,0.001664373,0.0,1,1,9.100231,0.0,3.3485,0.0002563035,1,1,1,Normal
 22/12/2015 4:30:28 PM,0.0,123.5677,1,1,1,251.9226,8.313765999999998,312.7916,0.0,1,1,1,1,1,1,1,2.560983,0.0002562214,137.7051,1,1,1,1,1,1,0.0,169.2387,0.0,133.658,1,1,1,1,1,7.444758,175.3909,260.7024,123.5068,0.001538067,0.001409,0.001664373,0.0,1,1,9.100231,0.0,3.3485,0.0002563035,1,1,1,Normal
 22/12/2015 4:30:29 PM,0.0,123.2144,1,1,1,251.9226,8.313765999999998,312.9198,0.0,1,1,1,1,1,1,1,2.560983,0.0002562214,137.8252,1,1,1,1,1,1,0.0,169.2387,0.0,133.5811,1,1,1,1,1,7.444758,175.3909,260.7024,123.4299,0.001538067,0.001409,0.001664373,0.0,1,1,9.100231,0.0,3.3485,0.0002563035,1,1,1,Normal
 22/12/2015 4:30:30 PM,0.0,123.3714,1,1,1,251.9226,8.313765999999998,312.9198,0.0,1,1,1,1,1,1,1,2.560983,0.0002562214,137.4247,1,1,1,1,1,1,0.0,169.2387,0.0,133.4658,1,1,1,1,1,7.444758,175.3909,260.7024,123.4299,0.001538067,0.001409,0.001664373,0.0,1,1,9.100231,0.0,3.3485,0.0002563035,1,1,1,Normal
 22/12/2015 4:30:31 PM,0.0,123.1752,1,1,1,251.9226,8.313765999999998,312.9198,0.0,1,1,1,1,1,1,1,2.560983,0.0002562214,137.8252,1,1,1,1,1,1,0.0,169.2387,0.0,133.4273,1,1,1,1,1,7.444758,175.3909,260.7024,123.4299,0.001538067,0.001409,0.001664373,0.0,1,1,9.020123000000002,0.0,3.3485,0.0002563035,1,1,1,Normal
 22/12/2015 4:30:32 PM,0.0,123.5284,1,1,1,251.9226,8.313765999999998,312.9198,0.0,1,1,1,1,1,1,1,2.560983,0.0002562214,137.9454,1,1,1,1,1,1,0.0,169.2387,0.0,133.4273,1,1,1,1,1,7.444758,175.3909,260.7024,123.4299,0.001538067,0.001409,0.001664373,0.0,1,1,9.020123000000002,0.0,3.3485,0.0002563035,1,1,1,Normal
 22/12/2015 4:30:33 PM,0.0,123.7639,1,1,1,251.9226,8.313765999999998,312.9198,0.0,1,1,1,1,1,1,1,2.560983,0.0002562214,138.0255,1,1,1,1,1,1,0.0,169.2899,0.0,133.3889,1,1,1,1,1,7.444758,175.3909,260.7024,123.4299,0.001538067,0.001409,0.001664373,0.0,1,1,9.020123000000002,0.0,3.3485,0.0002563035,1,1,1,Normal
 22/12/2015 4:30:34 PM,0.0,123.9995,1,1,1,251.9226,8.313765999999998,312.9198,0.0,1,1,1,1,1,1,1,2.560983,0.0002562214,138.1857,1,1,1,1,1,1,0.0,169.4437,0.0,133.3889,1,1,1,1,1,7.444758,175.3909,260.7024,123.4299,0.001538067,0.001409,0.001664373,0.0,1,1,9.020123000000002,0.0,3.3485,0.0002563035,1,1,1,Normal
 22/12/2015 4:30:35 PM,0.0,124.1957,1,1,1,251.9226,8.313765999999998,312.9198,0.0,1,1,1,1,1,1,1,2.560983,0.0002562214,138.0255,1,1,1,1,1,1,0.0,169.4437,0.0,133.1966,1,1,1,1,1,7.444758,175.3909,260.7024,123.3914,0.001538067,0.001409,0.001664373,0.0,1,1,9.020123000000002,0.0,3.3485,0.0002563035,1,1,1,Normal
 22/12/2015 4:30:36 PM,0.0,124.078,1,1,1,251.9226,8.313765999999998,312.9198,0.0,1,1,1,1,1,1,1,2.560983,0.0002562214,137.8252,1,1,1,1,1,1,0.0,169.4437,0.0,133.1966,1,1,1,1,1,7.444758,175.3909,260.7024,123.3145,0.001538067,0.001409,0.001664373,0.0,1,1,9.020123000000002,0.0,3.3485,0.0002563035,1,1,1,Normal